Japanese,Sushi Rolls,"1. Prepare sushi rice according to the package instructions. 2. Lay a sheet of nori on a bamboo sushi mat. 3. Wet your hands and spread a thin layer of rice over the nori, leaving a small border. 4. Add your choice of fillings (e.g., fish, avocado, cucumber). 5. Roll it tightly using the mat. 6. Slice into bite-sized pieces and serve with soy sauce and wasabi.","Sushi rice, nori sheets, fish (e.g., salmon, tuna), avocado, cucumber, soy sauce, wasabi","45 minutes",No
American,Buffalo Chicken Wings,"Preheat the oven. Coat chicken wings with a mixture of flour, salt, and pepper. Bake until crispy. Toss in buffalo sauce and serve with celery sticks and ranch dressing.","2 pounds chicken wings, 1/2 cup all-purpose flour, Salt, Pepper, 1 cup buffalo sauce, Celery sticks, Ranch dressing","40 minutes",No
American,Pancakes,"In a bowl, mix flour, sugar, baking powder, and salt. Add milk, eggs, and melted butter, then whisk until smooth. Cook spoonfuls of batter on a griddle until golden brown. Serve with maple syrup.","2 cups all-purpose flour, 2 tablespoons sugar, 2 teaspoons baking powder, 1/2 teaspoon salt, 1 1/2 cups milk, 2 eggs, 1/4 cup butter (melted), Maple syrup","20 minutes",Yes
American,Chicken Pot Pie,"Preheat the oven. In a pot, cook chicken, vegetables, and herbs in butter. Stir in flour, then gradually add chicken broth and milk. Simmer until thickened. Pour into a pie crust, top with another crust, and bake until golden.","2 cups cooked chicken (shredded), 1 cup frozen mixed vegetables, 1/3 cup butter, 1/3 cup all-purpose flour, 1/2 teaspoon salt, 1/4 teaspoon black pepper, 1/4 teaspoon celery seed, 1 3/4 cups chicken broth, 2/3 cup milk, 2 refrigerated pie crusts","45 minutes",No
American,Apple Pie,"Preheat the oven. Mix sliced apples with sugar, cinnamon, and flour. Pour into a pie crust, dot with butter, and cover with a second crust. Bake until the crust is golden and the filling is bubbly.","6 cups apples (peeled and sliced), 3/4 cup sugar, 1 teaspoon ground cinnamon, 2 tablespoons all-purpose flour, 2 tablespoons butter, 2 refrigerated pie crusts","1 hour",Yes
American,Cobb Salad,"Arrange chopped lettuce on a plate. Top with rows of grilled chicken, tomatoes, avocado, bacon, blue cheese, and hard-boiled eggs. Drizzle with your favorite dressing.","Lettuce (chopped), Grilled chicken (sliced), Tomatoes (chopped), Avocado (sliced), Bacon (cooked and crumbled), Blue cheese (crumbled), Hard-boiled eggs (sliced), Dressing of your choice","20 minutes",No
American,Chili,"In a pot, cook ground beef until browned. Add onions, garlic, bell peppers, and spices. Stir in diced tomatoes, tomato sauce, beans, and broth. Simmer until flavors meld. Serve hot with toppings.","1 pound ground beef, 1 onion (chopped), 2 cloves garlic (minced), 2 bell peppers (chopped), Chili powder, Cumin, Paprika, 2 cans diced tomatoes, 1 can tomato sauce, 2 cans kidney beans, 1 cup beef broth, Toppings (cheese, sour cream, green onions)","30 minutes",No
American,Grilled Cheese Sandwich,"Butter one side of each bread slice. Place cheese between slices, buttered side out. Grill in a pan until bread is golden and cheese is melted.","Bread slices, Butter, Cheese slices","10 minutes",Yes
American,Shrimp and Grits,"Cook grits according to package instructions. Sauté shrimp in butter with garlic, lemon, and Cajun seasoning. Serve over a bed of creamy grits.","1 cup grits, 1 pound shrimp (peeled and deveined), 4 tablespoons butter, 3 cloves garlic (minced), 1 lemon (juiced), Cajun seasoning, Salt and pepper","30 minutes",No
American,Reuben Sandwich,"Spread Thousand Island dressing on slices of rye bread. Layer corned beef, sauerkraut, and Swiss cheese. Grill until the cheese is melted. Serve hot.","Rye bread slices, Thousand Island dressing, Corned beef slices, Sauerkraut, Swiss cheese slices","15 minutes",No
American,New York-Style Pizza,"Preheat the oven and roll out pizza dough. Spread with tomato sauce and sprinkle with mozzarella cheese. Add your favorite toppings. Bake until crust is golden and cheese is bubbly.","Pizza dough, Tomato sauce, Mozzarella cheese, Toppings of your choice","20 minutes",No
American,Fish Tacos,"Batter fish fillets and fry until golden. Fill tortillas with shredded cabbage, fish, and top with salsa, sour cream, and lime wedges.","Fish fillets, Batter (flour, beer, baking powder), Corn tortillas, Shredded cabbage, Salsa, Sour cream, Lime wedges","25 minutes",No
American,Cornbread,"Preheat the oven. Mix cornmeal, flour, baking powder, and salt. In a separate bowl, combine milk, eggs, and melted butter. Mix wet and dry ingredients, then bake until golden brown.","1 cup cornmeal, 1 cup all-purpose flour, 1 tablespoon baking powder, 1 teaspoon salt, 1 cup milk, 2 eggs, 1/2 cup butter (melted)","25 minutes",Yes
American,Pulled Pork Sandwiches,"Rub pork shoulder with a spice mixture and slow-cook until tender. Shred the pork and mix with barbecue sauce. Serve on buns with coleslaw.","Pork shoulder, Spice rub, Barbecue sauce, Burger buns, Coleslaw","8 hours (slow-cooking time)",No
American,Chicken and Waffles,"Fry chicken until golden and crisp. Serve on top of waffles and drizzle with maple syrup.","Chicken pieces, Waffle mix, Maple syrup","30 minutes",No
American,Key Lime Pie,"Preheat the oven. Mix graham cracker crumbs, sugar, and melted butter. Press into a pie pan to form the crust. In a separate bowl, combine condensed milk, key lime juice, and egg yolks. Pour into the crust and bake until set.","1 1/2 cups graham cracker crumbs, 1/3 cup sugar, 1/2 cup butter (melted), 1 can condensed milk, 1/2 cup key lime juice, 3 egg yolks","25 minutes",Yes
American,Hot Dog with Chili,"Grill or boil hot dogs. Top with chili, shredded cheese, onions, and mustard.","Hot dogs, Chili, Shredded cheese, Onions (chopped), Mustard","15 minutes",No
American,Red Velvet Cake,"Preheat the oven. Mix flour, cocoa powder, baking soda, and salt. In a separate bowl, beat butter and sugar until fluffy. Add eggs, buttermilk, vanilla extract, and red food coloring. Combine wet and dry ingredients, then bake until a toothpick comes out clean.","2 1/2 cups all-purpose flour, 2 tablespoons cocoa powder, 1 1/2 teaspoons baking soda, 1 teaspoon salt, 1 1/2 cups unsalted butter, 2 1/2 cups sugar, 4 eggs, 1 1/4 cups buttermilk, 1 teaspoon vanilla extract, Red food coloring","30 minutes",Yes
American,Biscuits and Gravy,"Preheat the oven. Mix flour, baking powder, salt, and butter. Add milk and mix until dough forms. Drop spoonfuls onto a baking sheet and bake until golden. Serve with sausage gravy.","2 cups all-purpose flour, 1 tablespoon baking powder, 1 teaspoon salt, 1/2 cup butter, 3/4 cup milk, Sausage gravy","20 minutes",No
French,Coq au Vin,"Marinate chicken in red wine, thyme, and bay leaves. Sauté bacon, mushrooms, and pearl onions. Brown the chicken, add marinade, and simmer until cooked. Serve over mashed potatoes.","1 whole chicken, 2 cups red wine, Fresh thyme, Bay leaves, 4 slices bacon (chopped), 1 cup mushrooms, 1 cup pearl onions, Mashed potatoes","2 hours",No
French,Ratatouille,"Preheat the oven. Layer sliced eggplant, zucchini, and tomatoes in a baking dish. Sprinkle with herbs and olive oil. Bake until vegetables are tender. Serve as a side or main dish.","1 eggplant, 2 zucchinis, 4 tomatoes, Herbes de Provence, Olive oil","45 minutes",Yes
French,Beef Bourguignon,"Marinate beef in red wine, garlic, and herbs. Sauté bacon, carrots, and onions. Brown the beef, add marinade, and slow-cook until tender. Serve over mashed potatoes or noodles.","2 pounds beef stew meat, 2 cups red wine, 4 cloves garlic (minced), Fresh thyme, 4 slices bacon (chopped), 4 carrots (sliced), 2 onions (chopped), Mashed potatoes or noodles","4 hours (slow-cooking time)",No
French,Quiche Lorraine,"Preheat the oven. Line a pie crust with bacon and cheese. Whisk together eggs and cream, then pour over the bacon and cheese. Bake until set and golden brown.","1 pie crust, 8 slices bacon, 1 cup Gruyère cheese (grated), 4 eggs, 1 1/2 cups heavy cream","45 minutes",No
French,Salade Niçoise,"Arrange mixed greens, tuna, boiled potatoes, green beans, cherry tomatoes, hard-boiled eggs, and olives on a plate. Drizzle with vinaigrette.","Mixed greens, Canned tuna, Boiled potatoes, Green beans, Cherry tomatoes, Hard-boiled eggs, Olives, Vinaigrette","30 minutes",Yes
French,Coquilles Saint-Jacques,"Sauté scallops in butter until golden. Transfer to a baking dish. In the same pan, make a sauce with shallots, wine, and cream. Pour over the scallops, top with breadcrumbs, and bake until bubbly.","Scallops, Butter, Shallots (chopped), White wine, Heavy cream, Breadcrumbs","25 minutes",No
French,Croissant,"Preheat the oven. Roll out croissant dough and shape into triangles. Roll each triangle from the wide end to the tip. Bake until golden brown. Serve warm.","Croissant dough","15 minutes",No
French,Boeuf en Daube,"Marinate beef cubes in red wine, garlic, and herbs. Sauté bacon, carrots, and onions. Brown the beef, add marinade, and slow-cook until tender. Serve over noodles or mashed potatoes.","2 pounds beef cubes, 2 cups red wine, 4 cloves garlic (minced), Fresh thyme, 4 slices bacon (chopped), 4 carrots (sliced), 2 onions (chopped), Noodles or mashed potatoes","4 hours (slow-cooking time)",No
French,Gratin Dauphinois,"Preheat the oven. Layer sliced potatoes in a baking dish. Mix cream, garlic, and nutmeg, then pour over the potatoes. Bake until the top is golden and the potatoes are tender.","4 large potatoes (sliced), 1 1/2 cups heavy cream, 2 cloves garlic (minced), Nutmeg","1 hour",Yes
French,Chocolate Mousse,"Melt chocolate and butter. Beat egg yolks with sugar until creamy. Combine with melted chocolate. Whip egg whites until stiff, then fold into the chocolate mixture. Chill before serving.","8 ounces dark chocolate, 1/2 cup unsalted butter, 4 eggs (separated), 1/4 cup sugar","3 hours (including chilling time)",No
French,Tarte Tatin,"Preheat the oven. Cook apples in caramelized sugar and butter. Top with pastry dough and bake until golden. Invert onto a plate before serving.","6 apples (peeled, cored, and halved), 1 cup sugar, 1/2 cup unsalted butter, Puff pastry dough","45 minutes",Yes
French,Escargot,"Clean and prepare snails. Mix butter, garlic, shallots, parsley, and a splash of wine. Spoon the mixture into snail shells. Bake until bubbly. Serve with crusty bread.","24 snail shells, 1/2 cup unsalted butter, 4 cloves garlic (minced), 2 shallots (minced), Fresh parsley (chopped), White wine, Crusty bread","20 minutes",No
French,Coq au Vin,"Marinate chicken in red wine, thyme, and bay leaves. Sauté bacon, mushrooms, and pearl onions. Brown the chicken, add marinade, and simmer until cooked. Serve over mashed potatoes.","1 whole chicken, 2 cups red wine, Fresh thyme, Bay leaves, 4 slices bacon (chopped), 1 cup mushrooms, 1 cup pearl onions, Mashed potatoes","2 hours",No
French,Ratatouille,"Preheat the oven. Layer sliced eggplant, zucchini, and tomatoes in a baking dish. Sprinkle with herbs and olive oil. Bake until vegetables are tender. Serve as a side or main dish.","1 eggplant, 2 zucchinis, 4 tomatoes, Herbes de Provence, Olive oil","45 minutes",Yes
French,Beef Bourguignon,"Marinate beef in red wine, garlic, and herbs. Sauté bacon, carrots, and onions. Brown the beef, add marinade, and slow-cook until tender. Serve over mashed potatoes or noodles.","2 pounds beef stew meat, 2 cups red wine, 4 cloves garlic (minced), Fresh thyme, 4 slices bacon (chopped), 4 carrots (sliced), 2 onions (chopped), Mashed potatoes or noodles","4 hours (slow-cooking time)",No
French,Quiche Lorraine,"Preheat the oven. Line a pie crust with bacon and cheese. Whisk together eggs and cream, then pour over the bacon and cheese. Bake until set and golden brown.","1 pie crust, 8 slices bacon, 1 cup Gruyère cheese (grated), 4 eggs, 1 1/2 cups heavy cream","45 minutes",No
French,Salade Niçoise,"Arrange mixed greens, tuna, boiled potatoes, green beans, cherry tomatoes, hard-boiled eggs, and olives on a plate. Drizzle with vinaigrette.","Mixed greens, Canned tuna, Boiled potatoes, Green beans, Cherry tomatoes, Hard-boiled eggs, Olives, Vinaigrette","30 minutes",Yes
French,Coquilles Saint-Jacques,"Sauté scallops in butter until golden. Transfer to a baking dish. In the same pan, make a sauce with shallots, wine, and cream. Pour over the scallops, top with breadcrumbs, and bake until bubbly.","Scallops, Butter, Shallots (chopped), White wine, Heavy cream, Breadcrumbs","25 minutes",No
French,Croissant,"Preheat the oven. Roll out croissant dough and shape into triangles. Roll each triangle from the wide end to the tip. Bake until golden brown. Serve warm.","Croissant dough","15 minutes",No
French,Boeuf en Daube,"Marinate beef cubes in red wine, garlic, and herbs. Sauté bacon, carrots, and onions. Brown the beef, add marinade, and slow-cook until tender. Serve over noodles or mashed potatoes.","2 pounds beef cubes, 2 cups red wine, 4 cloves garlic (minced), Fresh thyme, 4 slices bacon (chopped), 4 carrots (sliced), 2 onions (chopped), Noodles or mashed potatoes","4 hours (slow-cooking time)",No
French,Gratin Dauphinois,"Preheat the oven. Layer sliced potatoes in a baking dish. Mix cream, garlic, and nutmeg, then pour over the potatoes. Bake until the top is golden and the potatoes are tender.","4 large potatoes (sliced), 1 1/2 cups heavy cream, 2 cloves garlic (minced), Nutmeg","1 hour",Yes
French,Chocolate Mousse,"Melt chocolate and butter. Beat egg yolks with sugar until creamy. Combine with melted chocolate. Whip egg whites until stiff, then fold into the chocolate mixture. Chill before serving.","8 ounces dark chocolate, 1/2 cup unsalted butter, 4 eggs (separated), 1/4 cup sugar","3 hours (including chilling time)",No
French,Tarte Tatin,"Preheat the oven. Cook apples in caramelized sugar and butter. Top with pastry dough and bake until golden. Invert onto a plate before serving.","6 apples (peeled, cored, and halved), 1 cup sugar, 1/2 cup unsalted butter, Puff pastry dough","45 minutes",Yes
French,Escargot,"Clean and prepare snails. Mix butter, garlic, shallots, parsley, and a splash of wine. Spoon the mixture into snail shells. Bake until bubbly. Serve with crusty bread.","24 snail shells, 1/2 cup unsalted butter, 4 cloves garlic (minced), 2 shallots (minced), Fresh parsley (chopped), White wine, Crusty bread","20 minutes",No
Chinese,Kung Pao Chicken,"In a wok, stir-fry diced chicken until cooked. Add peanuts, vegetables, and a flavorful sauce. Toss until well combined. Serve over rice.","1 pound chicken breast (diced), 1 cup peanuts, 1 cup diced vegetables (bell peppers, zucchini, carrots), 3 tablespoons soy sauce, 2 tablespoons hoisin sauce, 1 tablespoon rice vinegar, 1 tablespoon sugar, 1 teaspoon cornstarch, 2 cloves garlic (minced), 1 teaspoon ginger (minced), 2 tablespoons vegetable oil, Cooked rice","30 minutes",No
Chinese,Sweet and Sour Pork,"In a deep fryer or wok, cook battered pork until crispy. In a separate pan, make a sweet and sour sauce. Toss the pork in the sauce until coated. Serve hot.","1 pound pork tenderloin (cubed), 1 cup cornstarch (for batter), 1 cup pineapple chunks, 1 cup bell peppers (sliced), 1/2 cup ketchup, 1/4 cup rice vinegar, 2 tablespoons soy sauce, 1/4 cup brown sugar, 1 teaspoon ginger (minced), Vegetable oil for frying, Cooked rice","45 minutes",No
Chinese,Spring Rolls,"In a skillet, sauté vegetables until tender. Fill spring roll wrappers with the vegetable mixture. Roll tightly and fry until golden. Serve with dipping sauce.","Spring roll wrappers, 2 cups shredded cabbage, 1 cup shredded carrots, 1 cup bean sprouts, 1/2 cup mushrooms (sliced), 2 tablespoons soy sauce, 1 tablespoon hoisin sauce, 1 tablespoon sesame oil, 2 cloves garlic (minced), Vegetable oil for frying, Dipping sauce","30 minutes",Yes
Chinese,Hong Shao Rou (Red-Braised Pork Belly),"Boil pork belly until cooked. Sear in a hot wok, then simmer in a flavorful mixture of soy sauce, sugar, and spices until the sauce thickens. Serve over rice.","1 pound pork belly, 2 tablespoons soy sauce, 1 tablespoon dark soy sauce, 1/4 cup sugar, 1 cup water, 2 slices ginger, 2 cloves garlic (minced), 2 tablespoons Shaoxing wine, 2 green onions (sliced), Cooked rice","1.5 hours",No
Chinese,Dim Sum Dumplings (Jiaozi),"Mix ground pork, vegetables, and seasonings. Fill dumpling wrappers, fold, and seal. Steam or pan-fry until cooked. Serve with dipping sauce.","1/2 pound ground pork, 1 cup finely chopped Napa cabbage, 1/2 cup green onions (chopped), 2 tablespoons soy sauce, 1 tablespoon sesame oil, 1 tablespoon ginger (minced), 1 tablespoon garlic (minced), Dumpling wrappers, Dipping sauce","45 minutes",No
Chinese,Szechuan Mapo Tofu,"In a wok, sauté ground pork. Add tofu cubes, Szechuan peppercorns, and a spicy bean sauce. Simmer until heated through. Garnish with green onions and serve with rice.","1/2 pound ground pork, 1 package firm tofu (cubed), 2 tablespoons spicy bean sauce, 1 tablespoon Szechuan peppercorns, 2 tablespoons soy sauce, 1 tablespoon sesame oil, 2 cloves garlic (minced), 1 tablespoon ginger (minced), 2 green onions (sliced), Cooked rice","30 minutes",No
Chinese,Moo Shu Chicken,"Stir-fry shredded chicken and vegetables. Add a hoisin-based sauce and cook until heated through. Serve the mixture in Mandarin pancakes with hoisin sauce.","1 pound chicken breast (shredded), 2 cups shredded cabbage, 1 cup shredded wood ear mushrooms, 1 cup shredded carrots, 2 tablespoons hoisin sauce, 2 tablespoons soy sauce, 1 tablespoon sesame oil, 2 cloves garlic (minced), 1 tablespoon ginger (minced), Mandarin pancakes, Hoisin sauce","25 minutes",No
Chinese,Congee (Jook),"In a pot, cook rice with water until it breaks down into a porridge consistency. Top with a variety of toppings like green onions, soy sauce, and fried shallots.","1 cup rice, 8 cups water, Toppings: green onions, soy sauce, fried shallots, Cooked protein (optional)","1 hour",No
Chinese,General Tso's Tofu,"Coat tofu cubes in cornstarch and pan-fry until crispy. In a wok, stir-fry with a sweet and tangy sauce. Serve over rice with steamed broccoli.","1 package firm tofu (cubed), 1/2 cup cornstarch, Vegetable oil for frying, 2 tablespoons soy sauce, 2 tablespoons hoisin sauce, 1 tablespoon rice vinegar, 1 tablespoon sugar, 2 cloves garlic (minced), 1 teaspoon ginger (minced), Cooked rice, Steamed broccoli","40 minutes",Yes
Chinese,Scallion Pancakes,"Mix flour, water, and salt to form a dough. Roll out and spread with chopped scallions. Pan-fry until crispy on both sides. Serve with soy sauce for dipping.","2 cups all-purpose flour, 3/4 cup warm water, 1/2 teaspoon salt, 1 cup chopped scallions, Vegetable oil for frying, Soy sauce for dipping","30 minutes",Yes
Chinese,Cantonese-Style Steamed Fish,"Place fish fillets on a plate and season. Top with ginger and green onions. Steam until the fish is cooked. In a separate pan, heat soy sauce and oil until hot. Pour over the steamed fish and serve.","2 fish fillets (such as sea bass or tilapia), Salt and pepper, 2 tablespoons soy sauce, 2 tablespoons vegetable oil, Ginger (julienned), Green onions (sliced), Steamed rice","20 minutes",No
Chinese,Hot and Sour Soup,"In a pot, simmer chicken broth with mushrooms, tofu, and various spices. Add vinegar and white pepper for a hot and sour flavor. Garnish with green onions.","4 cups chicken broth, 1 cup tofu (cubed), 1/2 cup wood ear mushrooms, 2 tablespoons soy sauce, 2 tablespoons rice vinegar, 1 tablespoon cornstarch (dissolved in water), 1 egg (beaten), White pepper, Green onions (sliced)","30 minutes",No
Chinese,Mongolian Beef,"Slice beef thinly and stir-fry until browned. Add soy sauce, hoisin sauce, and brown sugar. Cook until the sauce thickens. Garnish with green onions and sesame seeds. Serve over rice.","1 pound flank steak (sliced), 1/4 cup soy sauce, 2 tablespoons hoisin sauce, 2 tablespoons brown sugar, 2 tablespoons cornstarch, 2 tablespoons vegetable oil, 2 cloves garlic (minced), 1 teaspoon ginger (minced), Green onions (sliced), Sesame seeds, Cooked rice","30 minutes",No
Chinese,Steamed Pork Buns (Baozi),"Prepare a filling of seasoned ground pork. Fill baozi dough with the pork mixture, then steam until cooked. Serve with soy sauce for dipping.","1/2 pound ground pork, 2 cups all-purpose flour, 1 teaspoon yeast, 1/2 cup warm water, 1 tablespoon sugar, 2 tablespoons soy sauce, 1 tablespoon sesame oil, 2 cloves garlic (minced), 1 teaspoon ginger (minced), Green onions (sliced)","40 minutes",No
Chinese,Stir-Fried Shanghai Noodles,"Boil Shanghai noodles until al dente. Stir-fry with vegetables, protein of choice, and a savory sauce. Garnish with cilantro and sesame seeds.","8 ounces Shanghai noodles, 1 cup sliced chicken, beef, or tofu, 1 cup broccoli florets, 1/2 cup shredded carrots, 2 tablespoons soy sauce, 1 tablespoon oyster sauce, 1 tablespoon sesame oil, 2 cloves garlic (minced), 1 teaspoon ginger (minced), Cilantro (chopped), Sesame seeds","25 minutes",No
Chinese,Szechuan Eggplant,"Slice eggplant and stir-fry until golden. Add a spicy Szechuan sauce and cook until the eggplant is tender. Garnish with green onions and serve with rice.","2 large eggplants (sliced), 2 tablespoons soy sauce, 1 tablespoon hoisin sauce, 1 tablespoon rice vinegar, 1 tablespoon brown sugar, 1 teaspoon cornstarch, 2 tablespoons vegetable oil, 2 cloves garlic (minced), 1 teaspoon ginger (minced), 1 teaspoon Szechuan peppercorns, Green onions (sliced), Cooked rice","30 minutes",Yes
Chinese,Chinese BBQ Pork (Char Siu),"Marinate pork in a sweet and savory mixture. Roast until caramelized and cooked through. Slice and serve as a delicious side or over rice.","1 pound pork shoulder (sliced), 1/4 cup hoisin sauce, 2 tablespoons soy sauce, 2 tablespoons oyster sauce, 2 tablespoons honey, 1 tablespoon Chinese five-spice powder, 2 cloves garlic (minced), 1 teaspoon ginger (minced), 1 tablespoon Shaoxing wine","1.5 hours",No
Chinese,Mapo Tofu,"In a wok, sauté ground pork. Add tofu cubes, black bean sauce, and chili bean paste. Simmer until heated through. Garnish with green onions and serve with rice.","1/2 pound ground pork, 1 package firm tofu (cubed), 2 tablespoons black bean sauce, 1 tablespoon chili bean paste, 2 tablespoons soy sauce, 1 tablespoon sesame oil, 2 cloves garlic (minced), 1 teaspoon ginger (minced), 2 green onions (sliced), Cooked rice","30 minutes",No
Chinese,Black Pepper Beef,"Slice beef thinly and marinate in a mixture of soy sauce, oyster sauce, and black pepper. Stir-fry with vegetables until cooked. Serve over rice.","1 pound flank steak (sliced), 1/4 cup soy sauce, 2 tablespoons oyster sauce, 1 tablespoon black pepper, 1 tablespoon cornstarch, 2 tablespoons vegetable oil, 2 cloves garlic (minced), 1 teaspoon ginger (minced), 1 bell pepper (sliced), 1 onion (sliced), Cooked rice","25 minutes",No
Chinese,Tea-Smoked Duck,"Rub duck with a mixture of tea leaves, sugar, and rice. Smoke the duck until cooked through. Serve with steamed buns and hoisin sauce.","1 whole duck, 1 cup black tea leaves, 1/2 cup brown sugar, 1/2 cup uncooked rice, 1/4 cup soy sauce, Steamed buns, Hoisin sauce","2 hours",No
Chinese,Sweet Red Bean Soup (Hong Dou Tang),"Boil red beans until soft. Add rock sugar and cook until dissolved. Serve the sweet red bean soup hot or cold.","1 cup red beans, 1/2 cup rock sugar, Water","1 hour",Yes
Chinese,Lotus Leaf Sticky Rice (Lo Mai Gai),"Soak glutinous rice and cook with Chinese sausage, mushrooms, and chicken. Wrap in lotus leaves and steam until the rice is tender. Serve hot.","2 cups glutinous rice, 1/2 cup Chinese sausage (sliced), 1/2 cup shiitake mushrooms (sliced), 1/2 cup diced chicken, 2 tablespoons soy sauce, 1 tablespoon oyster sauce, 1 tablespoon sesame oil, 2 lotus leaves (soaked), Steamer","1.5 hours",No
Chinese,Sweet Corn Soup,"In a pot, simmer chicken broth with sweet corn kernels, shredded chicken, and beaten eggs. Season with salt and white pepper. Garnish with green onions.","4 cups chicken broth, 1 cup sweet corn kernels, 1/2 cup shredded chicken, 2 eggs (beaten), Salt and white pepper to taste, Green onions (sliced)","30 minutes",No
Chinese,Chinese Chive Dumplings (Jiu Cai He Zi),"Mix Chinese chives, ground pork, and seasonings. Fill dumpling wrappers, fold, and pan-fry until golden. Serve with soy sauce for dipping.","2 cups Chinese chives (chopped), 1/2 pound ground pork, 2 tablespoons soy sauce, 1 tablespoon sesame oil, 1 tablespoon oyster sauce, Dumpling wrappers, Vegetable oil for frying, Soy sauce for dipping","40 minutes",No







